,Movies,Plots
0,Indiana Jones and the Kingdom of the Crystal Skull,"'In 1957, Soviet KGB agents working under Irina Spalko kidnap Indiana Jones and his partner George Mac MicHale"
0,Indiana Jones and the Kingdom of the Crystal Skull," The Soviets infiltrate a secret government warehouse, located in Nevada, labeled Hangar 51, and force Jones to locate a mummified alien corpse from the Roswell UFO incident, which he was forced to work on 10 years earlier"
0,Indiana Jones and the Kingdom of the Crystal Skull," Shortly after retrieving the corpse, Mac reveals he has become a double agent on the KGB’s payroll"
0,Indiana Jones and the Kingdom of the Crystal Skull," Jones unsuccessfully attempts to steal the body, and fights with Spalko\'s henchman Dovchenko, before escaping to a nearby model town right before an atomic bomb test"
0,Indiana Jones and the Kingdom of the Crystal Skull," He takes shelter in a lead-lined refrigerator, and FBI agents eventually rescue, decontaminate, and interrogate him, suspecting him of working for the Soviets"
0,Indiana Jones and the Kingdom of the Crystal Skull," Though eventually freed, Jones is put on an indefinite leave of absence from Marshall College, and dean Charles Stanforth resigns to spare Jones from being fired"
0,Indiana Jones and the Kingdom of the Crystal Skull,"', Greaser Mutt Williams approaches Jones, notifying him that Jones’ former colleague, Professor Harold Oxley, found a crystal skull in Peru, but has since been kidnapped along with Mutt's mother, Marion, who went after him"
0,Indiana Jones and the Kingdom of the Crystal Skull," Jones tells Mutt of the legend of crystal skulls found in Akator, and Mutt gives Jones a letter from his mother, which contains a riddle from Oxley in an ancient language"
0,Indiana Jones and the Kingdom of the Crystal Skull," Two Soviet agents attempt to capture them, but Jones and Mutt escape and, following the riddle's meaning, reach Peru"
0,Indiana Jones and the Kingdom of the Crystal Skull," At the local psychiatric hospital, carvings on the walls and floor of Oxley's cell lead them to the grave of Francisco de Orellana, a Conquistador who searched for Akator"
0,Indiana Jones and the Kingdom of the Crystal Skull," They find the skull at the grave, and Jones reasons that Oxley had returned it there"
0,Indiana Jones and the Kingdom of the Crystal Skull," While the two are departing the tomb, Mac and the Soviets take them hostage and deliver them to the Soviet camp in the Amazon jungle"
0,Indiana Jones and the Kingdom of the Crystal Skull," There, the pair find an addled Oxley and Marion, who is actually Marion Ravenwood, an old partner of Jones'; she reveals to Jones that Mutt is his son"
0,Indiana Jones and the Kingdom of the Crystal Skull,", Spalko believes the crystal skull belongs to an alien life form that holds great psychic power"
0,Indiana Jones and the Kingdom of the Crystal Skull, Finding more skulls in Akator will grant the Soviet Union the ability to control the world via telepathy
0,Indiana Jones and the Kingdom of the Crystal Skull," Jones realizes that Oxley is attempting to communicate through automatic writing, and locates a route to Akator"
0,Indiana Jones and the Kingdom of the Crystal Skull," The next day, while en route to the ancient city, Jones and his team fight their way out of the KGB's clutches, with Dovchenko being devoured by a swarm of army ants"
0,Indiana Jones and the Kingdom of the Crystal Skull, Mac informs Jones he is a CIA double agent
0,Indiana Jones and the Kingdom of the Crystal Skull," After surviving three waterfalls in an amphibious vehicle, Jones and Oxley identify a skull-like rock formation that leads them to Akator, unaware that Mac had lied about being a CIA agent and has been dropping transceivers to allow the surviving Soviets to track them"
0,Indiana Jones and the Kingdom of the Crystal Skull,", 'Jones\'s team evades the city\'s guardians, gains access to the temple, and finds it filled with artifacts from many ancient civilizations"
0,Indiana Jones and the Kingdom of the Crystal Skull, They realize the aliens are archaeologists studying the different cultures of Earth
0,Indiana Jones and the Kingdom of the Crystal Skull," They find and enter a chamber containing 13 crystal skeletons, one of which is missing its skull"
0,Indiana Jones and the Kingdom of the Crystal Skull," When Spalko arrives and replaces the skull, the skeletons telepathically offer to give a reward to the group, using Oxley as a translator"
0,Indiana Jones and the Kingdom of the Crystal Skull," She demands to simply know all the knowledge of the aliens; the aliens reanimate and transfer an overwhelming amount of knowledge into her mind, killing her"
0,Indiana Jones and the Kingdom of the Crystal Skull," A portal to their dimension is activated, and Mac and all of the remaining Soviets are drawn in, while Jones and his team escape"
0,Indiana Jones and the Kingdom of the Crystal Skull," As the city crumbles, a flying saucer rises from the ruins and departs for another dimension, and the waters of the Amazon flood the hollow left by its takeoff"
0,Indiana Jones and the Kingdom of the Crystal Skull,"', 'The following year, Jones is reinstated at Marshall College as its associate dean, and marries Marion, with Oxley, who has regained his sanity, and Mutt as witnesses"
1,Skyfall,"'In Istanbul, MI6 agents James Bond and Eve Moneypenny pursue mercenary Patrice, who has stolen a hard drive containing details of undercover agents"
1,Skyfall," As Bond and Patrice fight atop a moving train, M orders Moneypenny to shoot Patrice, despite not having a clear shot; Moneypenny inadvertently hits Bond, who falls into a river"
1,Skyfall, Bond is presumed dead and Patrice escapes with the hard drive
1,Skyfall,"', Three months later, due to a public inquiry into M's handling of the stolen hard drive, she is pressured to retire by Gareth Mallory, the chairman of the Intelligence and Security Committee of Parliament and a former SAS officer"
1,Skyfall," Although she claims she is still useful, MI6's servers are hacked, and M receives a taunting computer message moments before the MI6 building explodes"
1,Skyfall," Bond, who used his presumed death to retire, learns of the attack and returns to service in London"
